arrive_in	0
should_try	1
've_just_walked_into	2
seeing_here	3
've_just_sauntered_into	4
can_barely_contain	5
have_walked_into	6
've_entered	7
were_only_different_from	8
vibes_in	9
had_walk_into	10
have_moved_into	11
are_in	12
see	13
take	14
find	15
have_come_into	16
am_obligated	17
believe	18
're	19
looking_for	20
call	21
were_superficially_different_from	22
've_just_shown_up_in	23
were_in	24
've_shown_up_in	25
seeing	26
see_in	27
am	28
can_contain	29
seems	30
list_off	31
're_calling	32
start	33
were_only_superficially_different_from	34
were	35
're_in	36
is_in	37
decide	38
will_go	39
need	40
begin	41
gain	42
've_sauntered_into	43
just_list_off	44
take_note_in	45
've_walked_into	46
are	47
were_different_from	48
is	49
